ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044057	regulation of system process	56/686	341/12179	2.83987584469169e-13	1.21944268771061e-09	9.53301480918084e-10	CACNB2/INHBB/TBX18/CCN3/FOXO1/LMCD1/PDE5A/NR4A3/C1QTNF1/CTSC/OXTR/ABCC9/ABAT/FOXO3/CORIN/WASF3/LEP/GLS/ATP2A2/CLIC2/ADRA1B/ADM2/CORO2B/FGF13/BDKRB2/EPB41/TENM4/GCH1/TGFB2/TYMP/FGF10/AGT/SCN1B/SPTBN4/KCNE3/STC1/NR4A1/EGR2/PI16/CACNA1G/ADRA2A/ARHGAP42/KCND3/PER2/KCND2/ADORA1/CYP19A1/MSTN/PTGS2/GRIN2A/TMEM100/PKP2/ASIC2/BEGAIN/KCNB2/HTR2A	56
GO:0003013	circulatory system process	58/686	389/12179	6.78499840863737e-12	1.45673915833444e-08	1.13880841711287e-08	CACNB2/CXCL12/TJP2/KCNK6/SLC6A6/TBX18/SLC6A9/PDE5A/CBS/OXTR/ABCC9/AGTRAP/GCLM/ABAT/SGCD/CORIN/ACTA2/LEP/SLC16A12/SLC5A6/ATP2A2/POSTN/CLIC2/ADRA1B/ADM2/DDAH1/CORO2B/FGF13/SLC38A2/BDKRB2/NEDD4L/BDKRB1/GCH1/VEGFA/TGFB2/AGT/SCN1B/IER3/SPTBN4/KCNE3/COL4A3/STC1/CACNA1G/ADRA2A/ARHGAP42/KCND3/PER2/KCND2/ADORA1/SLC24A3/RAMP3/HSD11B2/PTGS2/SLC7A5/PKP2/ASIC2/HTR2A/CHD7	58
GO:0008015	blood circulation	50/686	321/12179	4.14806696579652e-11	5.93726651704342e-08	4.64146861541232e-08	CACNB2/CXCL12/TJP2/KCNK6/TBX18/PDE5A/CBS/OXTR/ABCC9/AGTRAP/GCLM/ABAT/SGCD/CORIN/ACTA2/LEP/ATP2A2/POSTN/CLIC2/ADRA1B/ADM2/DDAH1/CORO2B/FGF13/BDKRB2/NEDD4L/BDKRB1/GCH1/VEGFA/TGFB2/AGT/SCN1B/IER3/SPTBN4/KCNE3/COL4A3/STC1/CACNA1G/ADRA2A/ARHGAP42/KCND3/PER2/KCND2/ADORA1/HSD11B2/PTGS2/PKP2/ASIC2/HTR2A/CHD7	50
GO:0003012	muscle system process	45/686	286/12179	2.88529976153367e-10	2.51555463726738e-07	1.96653929307618e-07	CACNB2/KLF15/FOXO1/PDLIM5/LMCD1/PDE5A/LMOD1/NR4A3/SCN7A/OXTR/ABCC9/ABAT/APBB2/SGCD/FOXO3/CFLAR/ACTA2/LEP/ATP2A2/GDNF/CLIC2/ADRA1B/FGF13/BDKRB2/NEDD4L/AGT/SCN1B/KCNE3/STC1/NR4A1/PI16/CACNA1G/ADRA2A/ARHGAP42/KCND3/MYOZ2/HMOX1/KCND2/ADORA1/MSTN/PTGS2/MYH13/PKP2/KCNB2/HTR2A	45
GO:0043269	regulation of monoatomic ion transport	49/686	328/12179	2.92915071875568e-10	2.51555463726738e-07	1.96653929307618e-07	CACNB2/PER1/CXCL12/STOM/KCNK6/SLC6A9/TRPC6/EPHB2/SCN7A/FGF14/PRKCE/LEP/CLIC6/CLIC2/FGF13/PRKG2/P2RX7/EPB41/NEDD4L/BDKRB1/KCNK15/UBASH3B/SCN1B/KCNS1/SPTBN4/KCNE3/STC1/CACNA1G/CAMK2A/ADRA2A/KCND3/MCHR1/KCNQ3/KCND2/TMC2/ADORA1/TMEM37/RAMP3/PTGS2/GRIN2A/KCNA3/CATSPER2/PKP2/MAOB/ASIC2/KCNB2/HTR2A/CCR1/CHD7	49
GO:1903522	regulation of blood circulation	31/686	159/12179	9.38654627306725e-10	6.71763828275846e-07	5.25152562540552e-07	CACNB2/TBX18/PDE5A/OXTR/ABCC9/CORIN/LEP/ATP2A2/CLIC2/ADRA1B/ADM2/FGF13/BDKRB2/GCH1/TGFB2/AGT/SCN1B/SPTBN4/KCNE3/STC1/CACNA1G/ADRA2A/ARHGAP42/KCND3/PER2/KCND2/ADORA1/PTGS2/PKP2/ASIC2/HTR2A	31
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	59/686	470/12179	4.54973599601866e-09	2.79093805241488e-06	2.18182076560955e-06	SORT1/ERRFI1/COL1A1/GDF15/FOXO1/IRS2/IGFBP2/NR4A3/EPHB2/STON1/COL4A1/FLRT3/EPHB6/PIK3R1/NEDD9/PIK3R3/LEP/ANGPTL1/EPHB3/ROBO1/SAMD12/CILP/CCN2/APOD/SOX9/CRIM1/KANK1/ARHGEF28/BDKRB2/SOCS1/VEGFA/THBS1/FGF10/AGT/UBASH3B/SORBS1/MTSS1/COL4A3/FRK/DOK6/NRG1/IL12A/CADM1/MERTK/PAK3/KALRN/FGFR2/BLNK/EPHA4/PDK4/BTC/IL31RA/NGF/MSTN/EPHA5/XDH/ENPP1/FGF22/AFAP1L2	59
GO:0048514	blood vessel morphogenesis	59/686	476/12179	7.33412640228244e-09	3.82656773699255e-06	2.99142610577041e-06	ADAMTS1/ADAM12/SOX4/HIF3A/CCN3/AMOT/TGFBR2/CITED2/FZD8/MFGE8/EPHB2/COL4A1/KLF5/SGCD/WARS1/PIK3R3/LEP/ANPEP/S1PR1/RHOJ/PLK2/EPHB3/BMPER/GLUL/ROBO1/SAT1/ADM2/DDAH1/CCN2/RHOB/APOD/BRCA1/VEGFA/TGFB2/THBS1/FZD5/PLXDC1/TYMP/FGF10/VASH2/CCN1/COL4A3/COL27A1/NR4A1/IL12A/PRDM1/FGFR2/ANG/HPSE/E2F7/RGCC/SFRP2/EGR3/HMOX1/PTGS2/XDH/TMEM100/APOB/CHD7	59
GO:0034762	regulation of transmembrane transport	48/686	350/12179	8.0202863607203e-09	3.82656773699255e-06	2.99142610577041e-06	CACNB2/KLF15/STOM/KCNK6/SLC6A9/ACSL1/IRS2/TRPC6/PRKAG2/NR4A3/EPHB2/SCN7A/FGF14/PIK3R1/PRKCE/LEP/CLIC6/CLIC2/FGF13/P2RX7/TRIB3/NEDD4L/BDKRB1/KCNK15/CNIH3/THBS1/UBASH3B/SCN1B/SORBS1/KCNS1/KCNE3/CACNA1G/ADRA2A/KCND3/PER2/KCNQ3/KCND2/TMC2/TMEM37/RAMP3/GRIN2A/ENPP1/SLC7A5/KCNA3/CATSPER2/ASIC2/KCNB2/CHD7	48
GO:0030198	extracellular matrix organization	38/686	245/12179	1.08236687026694e-08	4.22516667356931e-06	3.3030315304127e-06	ADAMTS1/PDPN/PTX3/COL11A1/LAMA2/COL1A1/ADAMTS14/CRISPLD2/GPM6B/COL7A1/COL4A1/COL4A4/CFLAR/NID1/POSTN/KAZALD1/SOX9/AXIN2/ADAMTSL1/SPINT2/ITGA8/DPT/ANGPTL7/TGFB2/MMP15/AGT/TNFRSF11B/CCN1/COL4A3/COL27A1/ADAMTS5/RGCC/SFRP2/OLFML2A/RXFP1/MMP7/MMP10/COL28A1	38
